BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	7	5	01	ὅτε	01	Porque	direct
romanos	7	5	02	γὰρ	02	mientras	direct
romanos	7	5	03	ἦμεν	03	estábamos	direct
romanos	7	5	04	ἐν	04,05,06	en la carne,	expanded
romanos	7	5	05	τῇ	07,08	las pasiones	expanded
romanos	7	5	06	σαρκί,	09	pecaminosas	direct
romanos	7	5	07	τὰ	16	los	direct
romanos	7	5	08	παθήματα	17	miembros	direct
romanos	7	5	09	τῶν	18,19	de nuestro	expanded
romanos	7	5	10	ἁμαρτιῶν	20	cuerpo	direct
romanos	7	5	11	τὰ	21	a	direct
romanos	7	5	12	διὰ	22,23,24	fin de llevar	expanded
romanos	7	5	13	τοῦ	25	fruto	direct
romanos	7	5	14	νόμου	26	para	direct
romanos	7	5	15	ἐνηργεῖτο	27	muerte.	direct
romanos	7	5	16	ἐν	-	-	missing
romanos	7	5	17	τοῖς	-	-	missing
romanos	7	5	18	μέλεσιν	-	-	missing
romanos	7	5	19	ἡμῶν	-	-	missing
romanos	7	5	20	εἰς	-	-	missing
romanos	7	5	21	τὸ	-	-	missing
romanos	7	5	22	καρποφορῆσαι	-	-	missing
romanos	7	5	23	τῷ	-	-	missing
romanos	7	5	24	θανάτῳ·	-	-	missing
