BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
romanos	8	28	01	Οἴδαμεν	01	Y	direct
romanos	8	28	02	δὲ	02,03	sabemos que	expanded
romanos	8	28	03	ὅτι	06	que	direct
romanos	8	28	04	τοῖς	07	aman	direct
romanos	8	28	05	ἀγαπῶσι	08	a	direct
romanos	8	28	06	τὸν	09	Dios,	direct
romanos	8	28	07	θεὸν	10	todas	direct
romanos	8	28	08	πάντα	11	las	direct
romanos	8	28	09	⸀συνεργεῖ	12	cosas	direct
romanos	8	28	10	εἰς	13	cooperan	direct
romanos	8	28	11	ἀγαθόν,	14	para	direct
romanos	8	28	12	τοῖς	19	los	direct
romanos	8	28	13	κατὰ	20	que	direct
romanos	8	28	14	πρόθεσιν	21	son	direct
romanos	8	28	15	κλητοῖς	22	llamados	direct
romanos	8	28	16	οὖσιν.	23	conforme	direct
