continuity_field_id	book	chapter	verse	reference	stream_index	predication_id	persistence_score	transition_score	extension_score	weakening_score	field_state	evidence
CF00001	1corintios	1	4	1:4	1	1corintios-1-4-P01	1	0	1	0	recovering	"[""continuity:initial"", ""audit:not_shift"", ""paso9:low""]"
CF00002	1corintios	1	5	1:5	2	1corintios-1-5-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00003	1corintios	1	6	1:6	3	1corintios-1-6-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:moderate""]"
CF00004	1corintios	1	8	1:8	4	1corintios-1-8-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00005	1corintios	1	9	1:9	5	1corintios-1-9-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00006	1corintios	1	10	1:10	6	1corintios-1-10-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00007	1corintios	1	10	1:10	7	1corintios-1-10-P02	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00008	1corintios	1	10	1:10	8	1corintios-1-10-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:moderate""]"
CF00009	1corintios	1	10	1:10	9	1corintios-1-10-P04	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00010	1corintios	1	11	1:11	10	1corintios-1-11-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00011	1corintios	1	11	1:11	11	1corintios-1-11-P02	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00012	1corintios	1	12	1:12	12	1corintios-1-12-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:moderate""]"
CF00013	1corintios	1	12	1:12	13	1corintios-1-12-P02	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00014	1corintios	1	12	1:12	14	1corintios-1-12-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:moderate""]"
CF00015	1corintios	1	13	1:13	15	1corintios-1-13-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00016	1corintios	1	13	1:13	16	1corintios-1-13-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00017	1corintios	1	13	1:13	17	1corintios-1-13-P03	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00018	1corintios	1	14	1:14	18	1corintios-1-14-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00019	1corintios	1	14	1:14	19	1corintios-1-14-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00020	1corintios	1	15	1:15	20	1corintios-1-15-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:moderate""]"
CF00021	1corintios	1	15	1:15	21	1corintios-1-15-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00022	1corintios	1	16	1:16	22	1corintios-1-16-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00023	1corintios	1	16	1:16	23	1corintios-1-16-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00024	1corintios	1	16	1:16	24	1corintios-1-16-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00025	1corintios	1	17	1:17	25	1corintios-1-17-P01	2	4	2	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00026	1corintios	1	17	1:17	26	1corintios-1-17-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00027	1corintios	1	18	1:18	27	1corintios-1-18-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00028	1corintios	1	18	1:18	28	1corintios-1-18-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00029	1corintios	1	19	1:19	29	1corintios-1-19-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00030	1corintios	1	19	1:19	30	1corintios-1-19-P02	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00031	1corintios	1	19	1:19	31	1corintios-1-19-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00032	1corintios	1	20	1:20	32	1corintios-1-20-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00033	1corintios	1	21	1:21	33	1corintios-1-21-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00034	1corintios	1	21	1:21	34	1corintios-1-21-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00035	1corintios	1	22	1:22	35	1corintios-1-22-P01	0	2	0	1	recovering	"[""continuity:shift"", ""audit:weak_shift"", ""paso9:low""]"
CF00036	1corintios	1	22	1:22	36	1corintios-1-22-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00037	1corintios	1	23	1:23	37	1corintios-1-23-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00038	1corintios	1	25	1:25	38	1corintios-1-25-P01	0	6	0	4	unstable	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:continued_instability"", ""paso9:low""]"
CF00039	1corintios	1	26	1:26	39	1corintios-1-26-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:moderate""]"
CF00040	1corintios	1	27	1:27	40	1corintios-1-27-P01	2	4	1	2	transitioning	"[""continuity:shift"", ""audit:demonstrable_shift"", ""recovery:stabilized"", ""paso9:low""]"
CF00041	1corintios	1	27	1:27	41	1corintios-1-27-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00042	1corintios	1	27	1:27	42	1corintios-1-27-P03	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00043	1corintios	1	27	1:27	43	1corintios-1-27-P04	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
CF00044	1corintios	1	28	1:28	44	1corintios-1-28-P01	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:moderate""]"
CF00045	1corintios	1	28	1:28	45	1corintios-1-28-P02	3	0	2	0	stable	"[""continuity:same"", ""audit:not_shift"", ""paso9:low""]"
