book	chapter	continuity_source	continuity_status	finite_compact	finite_verb	independence_status	movement_reason_count	movement_reasons	movement_status	predication_id	previous_predication_id	stream_index	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subordination_status	verse	continuity_status_refined	continuity_refinement
1corintios	1	existing_continuity_status	initial	V-PAI-1S	εὐχαριστῶ	candidate	1	"[""stream_start""]"	strong	1corintios-1-4-P01		1	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	4	initial	none
1corintios	1	existing_continuity_status	shift	V-API-2P	ἐπλουτίσθητε	unresolved	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-5-P01	1corintios-1-4-P01	2	P	2	finite_verb_morphology	explicit_or_morphological	candidate	5	shift	none
1corintios	1	existing_continuity_status	shift	V-API-3S	ἐβεβαιώθη	unresolved	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-6-P01	1corintios-1-5-P01	3	S	3	finite_compact_person_number	finite_morphology_fallback	candidate	6	shift	none
1corintios	1	existing_continuity_status	same	V-FAI-3S	βεβαιώσει	candidate	2	"[""independence_transition"", ""subordination_transition""]"	candidate	1corintios-1-8-P01	1corintios-1-6-P01	4	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	8	same	none
1corintios	1	existing_continuity_status	shift	V-API-2P	ἐκλήθητε	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-9-P01	1corintios-1-8-P01	5	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	9	shift	none
1corintios	1	existing_continuity_status	shift	V-PAI-1S	παρακαλῶ	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-10-P01	1corintios-1-9-P01	6	S	1	finite_verb_morphology	explicit_or_morphological	not_detected	10	shift	none
1corintios	1	existing_continuity_status	shift	V-PAS-2P	λέγητε	unresolved	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-10-P02	1corintios-1-10-P01	7	P	2	finite_verb_morphology	explicit_or_morphological	candidate	10	shift	none
1corintios	1	existing_continuity_status	shift	V-PAS-3S	ᾖ	candidate	5	"[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]"	strong	1corintios-1-10-P03	1corintios-1-10-P02	8	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	10	shift	none
1corintios	1	existing_continuity_status	shift	V-PAS-2P	ἦτε	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-10-P04	1corintios-1-10-P03	9	P	2	finite_verb_morphology	explicit_or_morphological	not_detected	10	shift	none
1corintios	1	existing_continuity_status	shift	V-API-3S	ἐδηλώθη	candidate	3	"[""number_change"", ""person_change"", ""subject_shift""]"	strong	1corintios-1-11-P01	1corintios-1-10-P04	10	S	3	finite_verb_morphology	explicit_or_morphological	not_detected	11	shift	none
