family_id	member_count	avg_structural_density	avg_continuity_shift_density	incoming_transition_count	outgoing_transition_count	most_common_outgoing_family	most_common_outgoing_count	most_common_incoming_family	most_common_incoming_count
CSF001	2	0.8138	0.8138	1	2	CSF002	1	CSF010	1
CSF002	13	0.5103	0.5103	13	13	CSF003	3	CSF012	2
CSF003	10	0.3308	0.3308	10	10	CSF008	2	CSF002	3
CSF004	6	0.6047	0.6047	6	5	CSF004	2	CSF004	2
CSF005	5	0.2767	0.2767	5	5	CSF017	2	CSF012	2
CSF006	4	0.3708	0.3708	4	4	CSF007	1	CSF005	1
CSF007	13	0.5054	0.5054	13	13	CSF008	4	CSF008	3
CSF008	15	0.2198	0.2198	15	15	CSF007	3	CSF007	4
CSF009	1	0.3333	0.3333	1	1	CSF003	1	CSF008	1
CSF010	5	0.5899	0.5899	5	5	CSF011	1	CSF002	2
CSF011	4	0.7473	0.7473	4	4	CSF012	2	CSF010	1
CSF012	4	0.1295	0.1295	4	4	CSF002	2	CSF011	2
CSF013	1	0.0	0.0	1	1	CSF002	1	CSF005	1
CSF014	4	0.6563	0.6563	4	4	CSF015	1	CSF002	1
CSF015	7	0.2599	0.2599	7	7	CSF016	2	CSF007	3
CSF016	7	0.4373	0.4373	7	7	CSF007	2	CSF015	2
CSF017	6	0.4302	0.4302	6	6	CSF011	1	CSF008	2
CSF018	1	0.5	0.5	1	1	CSF003	1	CSF002	1
