BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	10	13	01	πειρασμὸς	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	expanded
1corintios	10	13	02	ὑμᾶς	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	shared
1corintios	10	13	03	οὐκ	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	shared
1corintios	10	13	04	εἴληφεν	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	shared
1corintios	10	13	05	εἰ	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	shared
1corintios	10	13	06	μὴ	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	shared
1corintios	10	13	07	ἀνθρώπινος	01,02,03,04,05,06,07,08,09,10,11,12,13	no les ha sobrevenido ninguna tentación que no sea común a los hombres	shared
1corintios	10	13	08	πιστὸς	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	expanded
1corintios	10	13	09	δὲ	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	10	ὁ	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	11	θεός	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	12	ὃς	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	13	οὐκ	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	14	ἐάσει	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	15	ὑμᾶς	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	16	πειρασθῆναι	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	17	ὑπὲρ	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	18	ὃ	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	19	δύνασθε	14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30	fiel es dios que no permitirá que ustedes sean tentados más allá de lo que pueden soportar	shared
1corintios	10	13	20	ἀλλὰ	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	expanded
1corintios	10	13	21	ποιήσει	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	22	σὺν	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	23	τῷ	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	24	πειρασμῷ	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	25	καὶ	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	26	τὴν	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	27	ἔκβασιν	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	28	τοῦ	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	29	δύνασθαι	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
1corintios	10	13	30	ὑπενεγκεῖν	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	sino que con la tentación proveerá también la vía de escape a fin de que puedan resistirla	shared
