BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	23	01	ἐγὼ	02	yo	direct
1corintios	11	23	02	γὰρ	03	recibí	direct
1corintios	11	23	03	παρέλαβον	04	del	direct
1corintios	11	23	04	ἀπὸ	05	señor	direct
1corintios	11	23	05	τοῦ	06	lo	direct
1corintios	11	23	06	κυρίου	07,08	mismo que	expanded
1corintios	11	23	07	ὃ	09	les	direct
1corintios	11	23	08	καὶ	10,11	he enseñado	expanded
1corintios	11	23	09	παρέδωκα	12	que	direct
1corintios	11	23	10	ὑμῖν	13	el	direct
1corintios	11	23	11	ὅτι	14	señor	direct
1corintios	11	23	12	ὁ	15	jesús	direct
1corintios	11	23	13	κύριος	16,17	la noche	expanded
1corintios	11	23	14	ἰησοῦς	18	en	direct
1corintios	11	23	15	ἐν	19,20,21	que fue entregado	expanded
1corintios	11	23	16	τῇ	22,23	tomó pan	expanded
1corintios	11	23	17	νυκτὶ	-	-	missing
1corintios	11	23	18	ᾗ	-	-	missing
1corintios	11	23	19	παρεδίδετο	-	-	missing
1corintios	11	23	20	ἔλαβεν	-	-	missing
1corintios	11	23	21	ἄρτον	-	-	missing
