BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	11	7	01	ἀνὴρ	01	pues	direct
1corintios	11	7	02	μὲν	02	el	direct
1corintios	11	7	03	γὰρ	03	hombre	direct
1corintios	11	7	04	οὐκ	04	no	direct
1corintios	11	7	05	ὀφείλει	05,06	debe cubrirse	expanded
1corintios	11	7	06	κατακαλύπτεσθαι	07	la	direct
1corintios	11	7	07	τὴν	08	cabeza	direct
1corintios	11	7	08	κεφαλήν	09	ya	direct
1corintios	11	7	09	εἰκὼν	10	que	direct
1corintios	11	7	10	καὶ	11,12	él es	expanded
1corintios	11	7	11	δόξα	13	la	direct
1corintios	11	7	12	θεοῦ	17,18	de dios	expanded
1corintios	11	7	13	ὑπάρχων	19	pero	direct
1corintios	11	7	14	ἡ	20	la	direct
1corintios	11	7	15	γυνὴ	21,22	mujer es	expanded
1corintios	11	7	16	δὲ	23,24	la gloria	expanded
1corintios	11	7	17	δόξα	25	del	direct
1corintios	11	7	18	ἀνδρός	26	hombre	direct
1corintios	11	7	19	ἐστιν	-	-	missing
