BOOK	CH	VS	G_IDX	GREEK	NBLA_IDX	NBLA_TEXT	ALIGNMENT
1corintios	12	23	01	καὶ	01,02	y las	expanded
1corintios	12	23	02	ἃ	03	partes	direct
1corintios	12	23	03	δοκοῦμεν	06,07	que estimamos	expanded
1corintios	12	23	04	ἀτιμότερα	08,09	menos honrosas	expanded
1corintios	12	23	05	εἶναι	06,07	que estimamos	shared
1corintios	12	23	06	τοῦ	04	del	direct
1corintios	12	23	07	σώματος	05	cuerpo	direct
1corintios	12	23	08	τούτοις	10,11	a estas	expanded
1corintios	12	23	09	τιμὴν	14,15	con más	expanded
1corintios	12	23	10	περισσοτέραν	16	honra	direct
1corintios	12	23	11	περιτίθεμεν	12,13	las vestimos	expanded
1corintios	12	23	12	καὶ	17	así	direct
1corintios	12	23	13	τὰ	18,19,20	que las partes	expanded
1corintios	12	23	14	ἀσχήμονα	23,24	más íntimas	expanded
1corintios	12	23	15	ἡμῶν	21,22	que consideramos	expanded
1corintios	12	23	16	εὐσχημοσύνην	26,27	un trato	expanded
1corintios	12	23	17	περισσοτέραν	28,29	más honroso	expanded
1corintios	12	23	18	ἔχει	25	reciben	direct
