pattern_candidate_id	pattern_key	pattern_length	frequency	first_start_reference	first_end_reference	label_sequence	pattern_status
P001	L001 > L001	2	162	1:18	1:19	"[""L001"", ""L001""]"	candidate
P002	L001 > L001 > L001	3	90	2:9	2:9	"[""L001"", ""L001"", ""L001""]"	candidate
P003	L001 > L001 > L001 > L001	4	53	2:9	2:10	"[""L001"", ""L001"", ""L001"", ""L001""]"	candidate
P004	L006 > L005	2	53	1:17	1:18	"[""L006"", ""L005""]"	candidate
P005	L003 > L002	2	52	1:10	1:10	"[""L003"", ""L002""]"	candidate
P006	L004 > L001	2	50	1:13	1:13	"[""L004"", ""L001""]"	candidate
P007	L002 > L001	2	49	1:16	1:16	"[""L002"", ""L001""]"	candidate
P008	L003 > L005	2	47	1:6	1:8	"[""L003"", ""L005""]"	candidate
P009	L002 > L003	2	46	1:10	1:10	"[""L002"", ""L003""]"	candidate
P010	L005 > L001	2	46	1:18	1:18	"[""L005"", ""L001""]"	candidate
P011	L001 > L006	2	42	1:16	1:16	"[""L001"", ""L006""]"	candidate
P012	L001 > L002	2	38	1:13	1:13	"[""L001"", ""L002""]"	candidate
P013	L002 > L002	2	37	1:9	1:10	"[""L002"", ""L002""]"	candidate
P014	L001 > L004	2	35	1:19	1:19	"[""L001"", ""L004""]"	candidate
P015	L001 > L001 > L001 > L001 > L001	5	31	2:9	2:10	"[""L001"", ""L001"", ""L001"", ""L001"", ""L001""]"	candidate
P016	L001 > L003	2	30	2:3	2:5	"[""L001"", ""L003""]"	candidate
P017	L002 > L004	2	30	1:12	1:13	"[""L002"", ""L004""]"	candidate
P018	L004 > L004	2	30	6:10	6:11	"[""L004"", ""L004""]"	candidate
P019	L005 > L004	2	30	1:22	1:23	"[""L005"", ""L004""]"	candidate
P020	L002 > L003 > L002	3	27	1:10	1:10	"[""L002"", ""L003"", ""L002""]"	candidate
P021	L005 > L001 > L001	3	27	1:18	1:19	"[""L005"", ""L001"", ""L001""]"	candidate
P022	L006 > L005 > L001	3	27	1:17	1:18	"[""L006"", ""L005"", ""L001""]"	candidate
P023	L002 > L006	2	25	1:14	1:14	"[""L002"", ""L006""]"	candidate
P024	L005 > L006	2	25	1:27	1:27	"[""L005"", ""L006""]"	candidate
P025	L001 > L006 > L005	3	24	2:14	2:15	"[""L001"", ""L006"", ""L005""]"	candidate
P026	L002 > L001 > L001	3	24	2:14	2:14	"[""L002"", ""L001"", ""L001""]"	candidate
P027	L006 > L002	2	24	1:16	1:17	"[""L006"", ""L002""]"	candidate
P028	L004 > L003	2	23	1:23	1:25	"[""L004"", ""L003""]"	candidate
P029	L001 > L001 > L001 > L001 > L001 > L001	6	22	2:9	2:11	"[""L001"", ""L001"", ""L001"", ""L001"", ""L001"", ""L001""]"	candidate
P030	L001 > L001 > L006	3	22	2:10	2:11	"[""L001"", ""L001"", ""L006""]"	candidate
P031	L004 > L001 > L001	3	21	2:1	2:3	"[""L004"", ""L001"", ""L001""]"	candidate
P032	L001 > L001 > L004	3	18	1:18	1:19	"[""L001"", ""L001"", ""L004""]"	candidate
P033	L001 > L001 > L002	3	17	2:16	2:16	"[""L001"", ""L001"", ""L002""]"	candidate
P034	L006 > L005 > L001 > L001	4	17	1:17	1:19	"[""L006"", ""L005"", ""L001"", ""L001""]"	candidate
P035	L001 > L001 > L003	3	15	2:2	2:5	"[""L001"", ""L001"", ""L003""]"	candidate
P036	L001 > L001 > L006 > L005	4	15	2:14	2:15	"[""L001"", ""L001"", ""L006"", ""L005""]"	candidate
P037	L003 > L005 > L001	3	15	2:9	2:9	"[""L003"", ""L005"", ""L001""]"	candidate
