macro_segment_id	segment_index	start_stream_index	end_stream_index	start_reference	end_reference	regime_count	record_count_total	dominant_family	family_counts	avg_structural_density	avg_turbulence_density	avg_stable_density	avg_continuity_same_density	avg_continuity_shift_density	avg_weight_per_record	incoming_break_score
MF001	1	1	24	1:4	1:16	2	24	CSF001	"{""CSF001"": 1, ""CSF002"": 1}"	0.5714	0.2142	0.2142	0.4048	0.5714	4.2857	
MF002	2	25	148	1:17	4:5	15	124	CSF003	"{""CSF002"": 2, ""CSF003"": 2, ""CSF004"": 1, ""CSF005"": 2, ""CSF006"": 1, ""CSF007"": 1, ""CSF008"": 1, ""CSF009"": 1, ""CSF010"": 1, ""CSF011"": 1, ""CSF012"": 1, ""CSF013"": 1}"	0.3588	0.3526	0.2887	0.6412	0.3588	2.8883	1.246211
MF003	3	149	224	4:5	6:5	5	76	CSF014	"{""CSF001"": 1, ""CSF010"": 1, ""CSF014"": 1, ""CSF015"": 1, ""CSF016"": 1}"	0.5848	0.1299	0.2853	0.4152	0.5848	3.8818	0.89604
MF004	4	225	286	6:5	7:10	10	62	CSF008	"{""CSF002"": 1, ""CSF004"": 1, ""CSF007"": 1, ""CSF008"": 4, ""CSF011"": 1, ""CSF014"": 1, ""CSF017"": 1}"	0.4439	0.0761	0.48	0.5561	0.4439	2.755	0.94193
MF005	5	287	312	7:11	7:17	4	26	CSF007	"{""CSF005"": 1, ""CSF007"": 1, ""CSF012"": 1, ""CSF017"": 1}"	0.3304	0.4375	0.2321	0.6696	0.3304	2.3571	1.055907
MF006	6	313	382	7:18	8:1	6	70	CSF008	"{""CSF003"": 1, ""CSF007"": 1, ""CSF008"": 3, ""CSF012"": 1}"	0.3184	0.1744	0.5072	0.6816	0.3184	1.7877	0.934368
MF007	7	383	490	8:1	10:5	14	108	CSF003	"{""CSF002"": 3, ""CSF003"": 4, ""CSF005"": 1, ""CSF006"": 3, ""CSF015"": 1, ""CSF017"": 2}"	0.3774	0.2632	0.3594	0.6226	0.3774	2.7399	1.043139
MF008	8	491	595	10:5	11:19	7	105	CSF002	"{""CSF002"": 2, ""CSF010"": 2, ""CSF011"": 1, ""CSF012"": 1, ""CSF016"": 1}"	0.4982	0.2191	0.2826	0.5018	0.4982	3.4459	0.819493
MF009	9	596	629	11:20	11:30	6	34	CSF008	"{""CSF003"": 1, ""CSF007"": 1, ""CSF008"": 3, ""CSF015"": 1}"	0.2686	0.1238	0.6076	0.7314	0.2686	1.8262	1.329946
MF010	10	630	730	11:31	13:12	10	101	CSF008	"{""CSF002"": 1, ""CSF007"": 2, ""CSF008"": 2, ""CSF010"": 1, ""CSF015"": 1, ""CSF016"": 1, ""CSF017"": 2}"	0.3988	0.2104	0.3908	0.6012	0.3988	2.5183	0.803184
MF011	11	731	750	13:12	14:6	4	20	CSF016	"{""CSF005"": 1, ""CSF007"": 1, ""CSF016"": 2}"	0.3916	0.3125	0.2958	0.6084	0.3916	2.7334	0.882216
MF012	12	751	793	14:7	14:23	6	43	CSF014	"{""CSF002"": 1, ""CSF003"": 1, ""CSF004"": 1, ""CSF008"": 1, ""CSF011"": 1, ""CSF014"": 1}"	0.5329	0.1856	0.2815	0.4671	0.5329	3.5318	1.003721
MF013	13	794	957	14:23	15:52	14	164	CSF007	"{""CSF002"": 2, ""CSF003"": 1, ""CSF007"": 4, ""CSF008"": 1, ""CSF015"": 3, ""CSF016"": 2, ""CSF018"": 1}"	0.4372	0.1919	0.3709	0.5628	0.4372	2.6829	0.781598
MF014	14	958	1018	15:53	16:22	5	61	CSF004	"{""CSF004"": 3, ""CSF007"": 1, ""CSF014"": 1}"	0.5867	0.2422	0.171	0.4133	0.5867	4.198	1.183469
