diagnostic_type	name	value	count	total	details
field_volatility	field_state_switch_rate	0.4808	489	1017	"{""recovering"": 79, ""stable"": 559, ""transitioning"": 175, ""unstable"": 205}"
oscillation_detection	stable_unstable_flip_rate	0.3746	381	1017	"{""stable_like"": [""extended"", ""recovering"", ""stable""], ""unstable_like"": [""transitioning"", ""unstable""]}"
pressure_inflation	window_1	52	52	0	"{""end_ref"": ""1:12"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 4, ""start_ref"": ""1:4"", ""threshold"": 23.0367, ""transition_total"": 56}"
pressure_inflation	window_2	28	28	0	"{""end_ref"": ""1:16"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 16, ""start_ref"": ""1:12"", ""threshold"": 23.0367, ""transition_total"": 44}"
pressure_inflation	window_16	54	54	0	"{""end_ref"": ""4:19"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 6, ""start_ref"": ""4:15"", ""threshold"": 23.0367, ""transition_total"": 60}"
pressure_inflation	window_17	46	46	0	"{""end_ref"": ""5:7"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 10, ""start_ref"": ""4:21"", ""threshold"": 23.0367, ""transition_total"": 56}"
pressure_inflation	window_18	60	60	0	"{""end_ref"": ""6:2"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 3, ""start_ref"": ""5:7"", ""threshold"": 23.0367, ""transition_total"": 63}"
pressure_inflation	window_42	32	32	0	"{""end_ref"": ""10:10"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 12, ""start_ref"": ""10:6"", ""threshold"": 23.0367, ""transition_total"": 44}"
pressure_inflation	window_44	59	59	0	"{""end_ref"": ""10:19"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 3, ""start_ref"": ""10:15"", ""threshold"": 23.0367, ""transition_total"": 62}"
pressure_inflation	window_46	24	24	0	"{""end_ref"": ""10:30"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 18, ""start_ref"": ""10:23"", ""threshold"": 23.0367, ""transition_total"": 42}"
pressure_inflation	window_77	33	33	0	"{""end_ref"": ""15:35"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 13, ""start_ref"": ""15:32"", ""threshold"": 23.0367, ""transition_total"": 46}"
pressure_inflation	window_81	46	46	0	"{""end_ref"": ""16:3"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 9, ""start_ref"": ""15:54"", ""threshold"": 23.0367, ""transition_total"": 55}"
pressure_inflation	window_83	24	24	0	"{""end_ref"": ""16:12"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 18, ""start_ref"": ""16:7"", ""threshold"": 23.0367, ""transition_total"": 42}"
pressure_inflation	window_85	30	30	0	"{""end_ref"": ""16:22"", ""movement_band"": ""transition_cluster"", ""persistence_total"": 6, ""start_ref"": ""16:17"", ""threshold"": 23.0367, ""transition_total"": 36}"
label_dependence	window_10	0.7059	0	0	"{""dominant_tendency"": ""EXPONE"", ""end_ref"": ""3:15"", ""label_counts"": {""ACLARA"": 1, ""CONDICIÓN"": 3, ""EXPONE"": 12, ""RAZÓN"": 1}, ""movement_band"": ""extended_stable_field"", ""start_ref"": ""3:11""}"
label_dependence	window_15	0.7143	0	0	"{""dominant_tendency"": ""EXPONE"", ""end_ref"": ""4:14"", ""label_counts"": {""ACLARA"": 3, ""EXPONE"": 10, ""RAZÓN"": 1}, ""movement_band"": ""extended_stable_field"", ""start_ref"": ""4:9""}"
label_dependence	window_16	0.7143	0	0	"{""dominant_tendency"": ""ACLARA"", ""end_ref"": ""4:19"", ""label_counts"": {""ACLARA"": 10, ""CONDICIÓN"": 2, ""EXPONE"": 2}, ""movement_band"": ""transition_cluster"", ""start_ref"": ""4:15""}"
label_dependence	window_18	0.7333	0	0	"{""dominant_tendency"": ""ACLARA"", ""end_ref"": ""6:2"", ""label_counts"": {""ACLARA"": 11, ""CONDICIÓN"": 1, ""EXPONE"": 1, ""PROPÓSITO"": 1, ""RESULTADO"": 1}, ""movement_band"": ""transition_cluster"", ""start_ref"": ""5:7""}"
label_dependence	window_23	0.7143	0	0	"{""dominant_tendency"": ""EXPONE"", ""end_ref"": ""7:5"", ""label_counts"": {""ACLARA"": 2, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""PROPÓSITO"": 1}, ""movement_band"": ""extended_stable_field"", ""start_ref"": ""6:19""}"
