summary_type	name	count
movement_band	extended_stable_field	30
movement_band	mixed_continuity	20
movement_band	movement_accumulation	11
movement_band	recovery_field	2
movement_band	transition_cluster	22
dominant_field	stable	69
dominant_field	transitioning	2
dominant_field	unstable	14
dominant_tendency	ACLARA	40
dominant_tendency	EXPONE	45
persistence_kind	band_persistence:extended_stable_field	7
persistence_kind	band_persistence:mixed_continuity	7
persistence_kind	band_persistence:movement_accumulation	7
persistence_kind	band_persistence:recovery_field	1
persistence_kind	band_persistence:transition_cluster	11
persistence_kind	field_persistence:stable	9
persistence_kind	mixed_persistence	1
