movement_window_id	book	window_index	start_ref	end_ref	start_stream_index	end_stream_index	predication_count	movement_band	dominant_field	dominant_tendency	state_counts	label_counts	persistence_total	transition_total	extension_total	weakening_total
MW00001	1corintios	1	1:4	1:12	1	12	12	transition_cluster	unstable	ACLARA	"{""recovering"": 2, ""stable"": 1, ""unstable"": 9}"	"{""ACLARA"": 11, ""EXPONE"": 2, ""PROPÓSITO"": 1, ""RAZÓN"": 2}"	4	56	3	37
MW00002	1corintios	2	1:12	1:16	13	24	12	transition_cluster	unstable	ACLARA	"{""stable"": 4, ""transitioning"": 2, ""unstable"": 6}"	"{""ACLARA"": 8, ""EXPONE"": 4, ""PROPÓSITO"": 1, ""RAZÓN"": 3}"	16	44	10	28
MW00003	1corintios	3	1:17	1:22	25	36	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 3}"	"{""ACLARA"": 4, ""CONDICIÓN"": 1, ""EXPONE"": 8, ""PROPÓSITO"": 1}"	30	14	20	7
MW00004	1corintios	4	1:23	1:30	37	48	12	movement_accumulation	stable	ACLARA	"{""stable"": 6, ""transitioning"": 4, ""unstable"": 2}"	"{""ACLARA"": 6, ""EXPONE"": 6, ""PROPÓSITO"": 3, ""RAZÓN"": 1}"	26	28	16	16
MW00005	1corintios	5	1:31	2:8	49	60	12	mixed_continuity	stable	EXPONE	"{""recovering"": 1, ""stable"": 7, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 6, ""CONDICIÓN"": 1, ""EXPONE"": 7, ""PROPÓSITO"": 2}"	27	20	18	11
MW00006	1corintios	6	2:9	2:13	61	72	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 10, ""transitioning"": 1}"	"{""ACLARA"": 3, ""CONDICIÓN"": 1, ""EXPONE"": 10, ""PROPÓSITO"": 1}"	32	6	22	3
MW00007	1corintios	7	2:14	3:2	73	84	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 8, ""transitioning"": 2, ""unstable"": 1}"	"{""ACLARA"": 5, ""EXPONE"": 8, ""RAZÓN"": 1}"	28	16	18	9
MW00008	1corintios	8	3:2	3:6	85	96	12	transition_cluster	unstable	ACLARA	"{""stable"": 5, ""transitioning"": 1, ""unstable"": 6}"	"{""ACLARA"": 7, ""EXPONE"": 5}"	17	40	11	26
MW00009	1corintios	9	3:6	3:11	97	108	12	mixed_continuity	stable	ACLARA	"{""recovering"": 2, ""stable"": 5, ""transitioning"": 3, ""unstable"": 2}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""RESULTADO"": 1}"	21	29	13	16
MW00010	1corintios	10	3:11	3:15	109	120	12	extended_stable_field	stable	EXPONE	"{""stable"": 12}"	"{""ACLARA"": 1, ""CONDICIÓN"": 3, ""EXPONE"": 12, ""RAZÓN"": 1}"	36	0	27	0
MW00011	1corintios	11	3:15	3:18	121	132	12	movement_accumulation	stable	EXPONE	"{""stable"": 8, ""transitioning"": 4}"	"{""ACLARA"": 4, ""CONDICIÓN"": 2, ""EXPONE"": 8, ""RAZÓN"": 1}"	32	16	22	8
MW00012	1corintios	12	3:19	4:3	133	144	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 9, ""transitioning"": 2}"	"{""ACLARA"": 3, ""EXPONE"": 9, ""PROPÓSITO"": 3, ""RAZÓN"": 1, ""RESULTADO"": 1}"	29	9	19	4
MW00013	1corintios	13	4:4	4:6	145	156	12	transition_cluster	stable	ACLARA	"{""stable"": 5, ""transitioning"": 2, ""unstable"": 5}"	"{""ACLARA"": 7, ""EXPONE"": 5, ""PROPÓSITO"": 1, ""RESULTADO"": 1}"	19	39	12	24
MW00014	1corintios	14	4:7	4:9	157	168	12	mixed_continuity	stable	ACLARA	"{""recovering"": 2, ""stable"": 6, ""transitioning"": 3, ""unstable"": 1}"	"{""ACLARA"": 6, ""CONDICIÓN"": 1, ""EXPONE"": 6, ""PROPÓSITO"": 2}"	24	22	16	12
MW00015	1corintios	15	4:9	4:14	169	180	12	extended_stable_field	stable	EXPONE	"{""recovering"": 1, ""stable"": 10, ""transitioning"": 1}"	"{""ACLARA"": 3, ""EXPONE"": 10, ""RAZÓN"": 1}"	32	6	21	3
MW00016	1corintios	16	4:15	4:19	181	192	12	transition_cluster	unstable	ACLARA	"{""stable"": 2, ""unstable"": 10}"	"{""ACLARA"": 10, ""CONDICIÓN"": 2, ""EXPONE"": 2}"	6	60	6	40
