paso9_support_id	book	chapter	verse	reference	stream_index	predication_id	connector_support	continuity_support	candidate_labels	confidence	evidence_sources	final_label_assigned
P900001	1corintios	1	4	1:4	1	1corintios-1-4-P01	[]	"[""EXPONE""]"	"[""EXPONE""]"	low	"[""continuity:initial"", ""audit:not_shift""]"	False
P900002	1corintios	1	5	1:5	2	1corintios-1-5-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900003	1corintios	1	6	1:6	3	1corintios-1-6-P01	"[""RAZÓN"", ""ACLARA""]"	"[""ACLARA""]"	"[""RAZÓN"", ""ACLARA""]"	moderate	"[""connector:οτι:explanatory"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900004	1corintios	1	8	1:8	4	1corintios-1-8-P01	"[""ACLARA""]"	"[""EXPONE""]"	"[""ACLARA"", ""EXPONE""]"	moderate	"[""connector:καθως:comparative"", ""continuity:same"", ""audit:not_shift""]"	False
P900005	1corintios	1	9	1:9	5	1corintios-1-9-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900006	1corintios	1	10	1:10	6	1corintios-1-10-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900007	1corintios	1	10	1:10	7	1corintios-1-10-P02	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900008	1corintios	1	10	1:10	8	1corintios-1-10-P03	"[""PROPÓSITO""]"	"[""ACLARA""]"	"[""PROPÓSITO"", ""ACLARA""]"	moderate	"[""connector:ινα:purpose"", ""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900009	1corintios	1	10	1:10	9	1corintios-1-10-P04	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
P900010	1corintios	1	11	1:11	10	1corintios-1-11-P01	[]	"[""ACLARA""]"	"[""ACLARA""]"	low	"[""continuity:shift"", ""audit:demonstrable_shift""]"	False
