observation_type	rank	chapter	chapter_b	metric	value	delta	note
chapter_similarity	1	2	8	similarity	0.4575	1.1856	chapters 2 and 8 have similarity 0.4575
chapter_similarity	2	1	12	similarity	0.3787	1.6408	chapters 1 and 12 have similarity 0.3787
chapter_similarity	3	8	12	similarity	0.3164	2.1603	chapters 8 and 12 have similarity 0.3164
chapter_similarity	4	2	12	similarity	0.3163	2.1613	chapters 2 and 12 have similarity 0.3163
chapter_similarity	5	2	5	similarity	0.2916	2.4299	chapters 2 and 5 have similarity 0.2916
chapter_similarity	6	11	16	similarity	0.2913	2.4331	chapters 11 and 16 have similarity 0.2913
chapter_similarity	7	3	11	similarity	0.2901	2.4475	chapters 3 and 11 have similarity 0.2901
chapter_similarity	8	1	3	similarity	0.2866	2.4896	chapters 1 and 3 have similarity 0.2866
chapter_similarity	9	3	12	similarity	0.2849	2.5097	chapters 3 and 12 have similarity 0.2849
chapter_similarity	10	1	5	similarity	0.2754	2.6306	chapters 1 and 5 have similarity 0.2754
chapter_similarity	11	3	6	similarity	0.2751	2.6352	chapters 3 and 6 have similarity 0.2751
chapter_similarity	12	5	12	similarity	0.2745	2.6432	chapters 5 and 12 have similarity 0.2745
chapter_similarity	13	3	8	similarity	0.2627	2.8062	chapters 3 and 8 have similarity 0.2627
chapter_similarity	14	5	8	similarity	0.2622	2.8132	chapters 5 and 8 have similarity 0.2622
chapter_similarity	15	3	16	similarity	0.2613	2.8271	chapters 3 and 16 have similarity 0.2613
metric_top_rank	1	15		total_predications	120		chapter 15 ranks 1 for total_predications
metric_top_rank	2	7		total_predications	113		chapter 7 ranks 2 for total_predications
metric_top_rank	3	14		total_predications	110		chapter 14 ranks 3 for total_predications
metric_top_rank	4	10		total_predications	80		chapter 10 ranks 4 for total_predications
metric_top_rank	5	11		total_predications	78		chapter 11 ranks 5 for total_predications
metric_top_rank	1	13		predications_per_verse	3.5		chapter 13 ranks 1 for predications_per_verse
metric_top_rank	2	4		predications_per_verse	2.95		chapter 4 ranks 2 for predications_per_verse
metric_top_rank	3	7		predications_per_verse	2.9		chapter 7 ranks 3 for predications_per_verse
metric_top_rank	4	14		predications_per_verse	2.75		chapter 14 ranks 4 for predications_per_verse
metric_top_rank	5	3		predications_per_verse	2.71		chapter 3 ranks 5 for predications_per_verse
metric_top_rank	1	14		max_predications_single_verse	8		chapter 14 ranks 1 for max_predications_single_verse
