chapter_a	chapter_b	similarity	distance	survives_thresholds	max_survived_threshold	persistence_count
2	8	0.4575	1.1856	0.20,0.25,0.30,0.35,0.40	0.4	5
1	12	0.3787	1.6408	0.20,0.25,0.30,0.35	0.35	4
8	12	0.3164	2.1603	0.20,0.25,0.30	0.3	3
2	12	0.3163	2.1613	0.20,0.25,0.30	0.3	3
2	5	0.2916	2.4299	0.20,0.25	0.25	2
11	16	0.2913	2.4331	0.20,0.25	0.25	2
3	11	0.2901	2.4475	0.20,0.25	0.25	2
1	3	0.2866	2.4896	0.20,0.25	0.25	2
3	12	0.2849	2.5097	0.20,0.25	0.25	2
1	5	0.2754	2.6306	0.20,0.25	0.25	2
3	6	0.2751	2.6352	0.20,0.25	0.25	2
5	12	0.2745	2.6432	0.20,0.25	0.25	2
3	8	0.2627	2.8062	0.20,0.25	0.25	2
5	8	0.2622	2.8132	0.20,0.25	0.25	2
3	16	0.2613	2.8271	0.20,0.25	0.25	2
1	11	0.2593	2.8571	0.20,0.25	0.25	2
1	16	0.2554	2.9156	0.20,0.25	0.25	2
1	8	0.2514	2.9785	0.20,0.25	0.25	2
9	16	0.2509	2.9856	0.20,0.25	0.25	2
4	8	0.2487	3.0202	0.20	0.2	1
13	16	0.2457	3.0704	0.20	0.2	1
1	2	0.2445	3.0894	0.20	0.2	1
12	16	0.2325	3.3017	0.20	0.2	1
2	3	0.2317	3.3161	0.20	0.2	1
4	13	0.2274	3.398	0.20	0.2	1
11	12	0.2271	3.4027	0.20	0.2	1
4	11	0.2262	3.4202	0.20	0.2	1
4	9	0.2259	3.4265	0.20	0.2	1
9	11	0.2242	3.4604	0.20	0.2	1
8	16	0.2233	3.4774	0.20	0.2	1
1	6	0.2228	3.4874	0.20	0.2	1
4	16	0.2228	3.4893	0.20	0.2	1
8	13	0.2217	3.5115	0.20	0.2	1
6	11	0.221	3.5253	0.20	0.2	1
10	12	0.2207	3.5306	0.20	0.2	1
6	12	0.2204	3.5367	0.20	0.2	1
5	6	0.2183	3.5814	0.20	0.2	1
3	13	0.2137	3.6797	0.20	0.2	1
8	11	0.2132	3.6898	0.20	0.2	1
3	5	0.2128	3.6997	0.20	0.2	1
2	4	0.2122	3.7127	0.20	0.2	1
3	4	0.2115	3.7285	0.20	0.2	1
4	12	0.2096	3.7705	0.20	0.2	1
6	8	0.2041	3.8986	0.20	0.2	1
6	16	0.2036	3.9108	0.20	0.2	1
6	10	0.2031	3.9238	0.20	0.2	1
1	9	0.2025	3.9382	0.20	0.2	1
3	10	0.2019	3.9529	0.20	0.2	1
2	16	0.2009	3.9774	0.20	0.2	1
