book	certainty_finite_verb	certainty_independence	certainty_predication	chapter	finite_compact	finite_lemma	finite_morphgnt	finite_verb	g_idx	independence_source	independence_status	nbla_idx	nbla_text	predication_id	stream_index	subject_inherited_from	subject_number	subject_person	subject_refinement_source	subject_refinement_status	subject_source	subject_status	subject_token	subordination_markers	subordination_source	subordination_status	verse
1corintios	confirmed	candidate	candidate	1	V-PAI-1S	εὐχαριστέω	V- 1PAI-S--	εὐχαριστῶ	01	subordination_marker_scan_only	candidate	02-03	doy gracias	1corintios-1-4-P01	1		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	4
1corintios	confirmed	unresolved	candidate	1	V-API-2P	πλουτίζω	V- 2API-P--	ἐπλουτίσθητε	04	subordination_marker_scan_only	unresolved	04-06	ustedes fueron enriquecidos	1corintios-1-5-P01	2		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ὅτι"", ""key"": ""οτι"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	5
1corintios	confirmed	unresolved	candidate	1	V-API-3S	βεβαιόω	V- 3API-S--	ἐβεβαιώθη	06	subordination_marker_scan_only	unresolved	08-09	fue confirmado	1corintios-1-6-P01	3	1corintios-1-5-P01	P	2	inheritance_allowed	inherited	nearest_agreeing_nominative_no_visible_boundary	candidate	03	"[{""form"": ""καθὼς"", ""key"": ""καθως"", ""token"": ""01""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	6
1corintios	confirmed	candidate	candidate	1	V-FAI-3S	βεβαιόω	V- 3FAI-S--	βεβαιώσει	03	subordination_marker_scan_only	candidate	04	confirmará	1corintios-1-8-P01	4		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	8
1corintios	confirmed	candidate	candidate	1	V-API-2P	καλέω	V- 2API-P--	ἐκλήθητε	06	subordination_marker_scan_only	candidate	08-09	fueron llamados	1corintios-1-9-P01	5		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	9
1corintios	confirmed	candidate	candidate	1	V-PAI-1S	παρακαλέω	V- 1PAI-S--	παρακαλῶ	01	subordination_marker_scan_only	candidate	01-02	les ruego	1corintios-1-10-P01	6		S	1	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	10
1corintios	confirmed	unresolved	candidate	1	V-PAS-2P	λέγω	V- 2PAS-P--	λέγητε	16	subordination_marker_scan_only	unresolved	13-16	se pongan de acuerdo	1corintios-1-10-P02	7		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		"[{""form"": ""ἵνα"", ""key"": ""ινα"", ""token"": ""13""}]"	explicit_marker_after_previous_finite_before_current_finite	candidate	10
1corintios	confirmed	candidate	candidate	1	V-PAS-3S	εἰμί	V- 3PAS-S--	ᾖ	20	subordination_marker_scan_only	candidate	20	haya	1corintios-1-10-P03	8		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	10
1corintios	confirmed	candidate	candidate	1	V-PAS-2P	εἰμί	V- 2PAS-P--	ἦτε	24	subordination_marker_scan_only	candidate	26	estén	1corintios-1-10-P04	9		P	2	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	10
1corintios	confirmed	candidate	candidate	1	V-API-3S	δηλόω	V- 3API-S--	ἐδηλώθη	01	subordination_marker_scan_only	candidate	02-04	he sido informado	1corintios-1-11-P01	10		S	3	finite_verb_morphology	explicit_or_morphological	finite_verb_morphology	confirmed		[]		not_detected	11
