stream_index	book	chapter	verse	predication_id	finite_verb	finite_compact	subject_status	subject_source	subject_refinement_status	subject_refinement_source	subject_inherited_from	independence_status	subordination_status	prev_2	prev_1	current	next_1	next_2
11	1corintios	1	11	1corintios-1-11-P02	εἰσιν	V-PAI-3P	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=9 | ref=1:10 | pid=1corintios-1-10-P04 | verb=ἦτε | compact=V-PAS-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=10 | ref=1:11 | pid=1corintios-1-11-P01 | verb=ἐδηλώθη | compact=V-API-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=11 | ref=1:11 | pid=1corintios-1-11-P02 | verb=εἰσιν | compact=V-PAI-3P | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=12 | ref=1:12 | pid=1corintios-1-12-P01 | verb=λέγω | compact=V-PAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=13 | ref=1:12 | pid=1corintios-1-12-P02 | verb=λέγει | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate
13	1corintios	1	12	1corintios-1-12-P02	λέγει	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=11 | ref=1:11 | pid=1corintios-1-11-P02 | verb=εἰσιν | compact=V-PAI-3P | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=12 | ref=1:12 | pid=1corintios-1-12-P01 | verb=λέγω | compact=V-PAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=13 | ref=1:12 | pid=1corintios-1-12-P02 | verb=λέγει | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=14 | ref=1:12 | pid=1corintios-1-12-P03 | verb=εἰμι | compact=V-PAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=15 | ref=1:13 | pid=1corintios-1-13-P01 | verb=μεμέρισται | compact=V-XPI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
54	1corintios	2	5	1corintios-2-5-P01	ᾖ	V-PAS-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=52 | ref=2:2 | pid=1corintios-2-2-P01 | verb=ἔκρινά | compact=V-AAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=53 | ref=2:3 | pid=1corintios-2-3-P01 | verb=ἐγενόμην | compact=V-AMI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=54 | ref=2:5 | pid=1corintios-2-5-P01 | verb=ᾖ | compact=V-PAS-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=55 | ref=2:6 | pid=1corintios-2-6-P01 | verb=λαλοῦμεν | compact=V-PAI-1P | subj=1P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=56 | ref=2:7 | pid=1corintios-2-7-P01 | verb=λαλοῦμεν | compact=V-PAI-1P | subj=1P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
69	1corintios	2	11	1corintios-2-11-P02	ἔγνωκεν	V-XAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=67 | ref=2:10 | pid=1corintios-2-10-P02 | verb=ἐραυνᾷ | compact=V-PAI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=68 | ref=2:11 | pid=1corintios-2-11-P01 | verb=οἶδεν | compact=V-XAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=69 | ref=2:11 | pid=1corintios-2-11-P02 | verb=ἔγνωκεν | compact=V-XAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=70 | ref=2:12 | pid=1corintios-2-12-P01 | verb=ἐλάβομεν | compact=V-AAI-1P | subj=1P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=71 | ref=2:12 | pid=1corintios-2-12-P02 | verb=εἰδῶμεν | compact=V-XAS-1P | subj=1P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate
95	1corintios	3	5	1corintios-3-5-P04	ἔδωκεν	V-AAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=93 | ref=3:5 | pid=1corintios-3-5-P02 | verb=ἐστιν | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=94 | ref=3:5 | pid=1corintios-3-5-P03 | verb=ἐπιστεύσατε | compact=V-AAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=95 | ref=3:5 | pid=1corintios-3-5-P04 | verb=ἔδωκεν | compact=V-AAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=96 | ref=3:6 | pid=1corintios-3-6-P01 | verb=ἐφύτευσα | compact=V-AAI-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=97 | ref=3:6 | pid=1corintios-3-6-P02 | verb=ἐπότισεν | compact=V-AAI-3S | subj=1S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected
99	1corintios	3	7	1corintios-3-7-P01	ἐστίν	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=97 | ref=3:6 | pid=1corintios-3-6-P02 | verb=ἐπότισεν | compact=V-AAI-3S | subj=1S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=98 | ref=3:6 | pid=1corintios-3-6-P03 | verb=ηὔξανεν | compact=V-IAI-3S | subj=1S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=99 | ref=3:7 | pid=1corintios-3-7-P01 | verb=ἐστίν | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=100 | ref=3:8 | pid=1corintios-3-8-P01 | verb=εἰσιν | compact=V-PAI-3P | subj=3P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=101 | ref=3:8 | pid=1corintios-3-8-P02 | verb=λήμψεται | compact=V-FMI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
110	1corintios	3	12	1corintios-3-12-P01	ἐποικοδομεῖ	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=108 | ref=3:11 | pid=1corintios-3-11-P01 | verb=δύναται | compact=V-PMI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=109 | ref=3:11 | pid=1corintios-3-11-P02 | verb=ἐστιν | compact=V-PAI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=110 | ref=3:12 | pid=1corintios-3-12-P01 | verb=ἐποικοδομεῖ | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=111 | ref=3:13 | pid=1corintios-3-13-P01 | verb=γενήσεται | compact=V-FMI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=112 | ref=3:13 | pid=1corintios-3-13-P02 | verb=δηλώσει | compact=V-FAI-3S | subj=3S | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected
130	1corintios	3	18	1corintios-3-18-P02	δοκεῖ	V-PAI-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=128 | ref=3:17 | pid=1corintios-3-17-P04 | verb=ἐστε | compact=V-PAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=129 | ref=3:18 | pid=1corintios-3-18-P01 | verb=ἐξαπατάτω | compact=V-PAD-3S | subj=2P | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=130 | ref=3:18 | pid=1corintios-3-18-P02 | verb=δοκεῖ | compact=V-PAI-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=131 | ref=3:18 | pid=1corintios-3-18-P03 | verb=γενέσθω | compact=V-AMD-3S | subj=2P | src=nearest_agreeing_nominative_no_visible_boundary | refine=inherited | reason=inheritance_allowed | ind=candidate | subord=not_detected	idx=132 | ref=3:18 | pid=1corintios-3-18-P04 | verb=γένηται | compact=V-AMS-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate
141	1corintios	4	2	1corintios-4-2-P02	εὑρεθῇ	V-APS-3S	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=139 | ref=4:1 | pid=1corintios-4-1-P01 | verb=λογιζέσθω | compact=V-PMD-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=140 | ref=4:2 | pid=1corintios-4-2-P01 | verb=ζητεῖται | compact=V-PPI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=141 | ref=4:2 | pid=1corintios-4-2-P02 | verb=εὑρεθῇ | compact=V-APS-3S | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=142 | ref=4:3 | pid=1corintios-4-3-P01 | verb=ἐστιν | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=143 | ref=4:3 | pid=1corintios-4-3-P02 | verb=ἀνακριθῶ | compact=V-APS-1S | subj=1S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate
217	1corintios	6	2	1corintios-6-2-P02	κρινοῦσιν	V-FAI-3P	candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	no_valid_inheritance		unresolved	candidate	idx=215 | ref=6:1 | pid=1corintios-6-1-P01 | verb=τολμᾷ | compact=V-PAI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=216 | ref=6:2 | pid=1corintios-6-2-P01 | verb=οἴδατε | compact=V-XAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected	idx=217 | ref=6:2 | pid=1corintios-6-2-P02 | verb=κρινοῦσιν | compact=V-FAI-3P | subj=-- | src=nearest_agreeing_nominative_no_visible_boundary | refine=unresolved | reason=no_valid_inheritance | ind=unresolved | subord=candidate	idx=218 | ref=6:2 | pid=1corintios-6-2-P03 | verb=κρίνεται | compact=V-PPI-3S | subj=3S | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=unresolved | subord=candidate	idx=219 | ref=6:2 | pid=1corintios-6-2-P04 | verb=ἐστε | compact=V-PAI-2P | subj=2P | src=finite_verb_morphology | refine=explicit_or_morphological | reason=finite_verb_morphology | ind=candidate | subord=not_detected
