greek_span	nbla_span	count	first_seen	last_seen	alignment_types
θεοῦ	de dios	16	1cor 1:1	1corintios 7:40	expanded
ἐν	con	13	1cor 1:17	1cor 5:8	direct,expanded
δὲ	y	10	1cor 1:23	1corintios 7:40	direct,expanded
ἵνα	para que	10	1cor 1:15	1cor 5:7	expanded
ὁ	el que	10	1cor 1:31	1corintios 7:38	expanded
τῶν	de los	8	1cor 1:19	1cor 4:5	expanded
ἐν	entre	8	1cor 1:10	1cor 6:5	direct,expanded
δὲ	sin embargo	7	1cor 1:24	1corintios 7:28	expanded
καὶ	también	7	1cor 1:16	1cor 6:14	direct,expanded
ἰησοῦ	jesucristo	7	1cor 1:10	1cor 6:11	expanded,merged-forward
τὸν	al	6	1cor 2:8	1corintios 10:9	direct,expanded
ὑμῶν	de ustedes	6	1cor 1:12	1cor 6:1	expanded
καὶ	y que	5	1cor 1:10	1corintios 8:4	expanded
χριστοῦ	de cristo	5	1cor 1:12	1cor 6:15	expanded
ἕκαστος	cada uno	5	1cor 1:12	1corintios 7:20	expanded
ὡς	como a	5	1cor 3:1	1cor 4:9	expanded
γέγραπται	está escrito	4	1cor 1:19	1cor 4:6	expanded
οὐ	ni	4	1cor 1:26	1cor 6:10	expanded
τοὺς	a los que	4	1cor 1:21	1cor 6:4	expanded
ἀλλὰ	sino que	4	1cor 1:27	1corintios 9:27	expanded
δὲ	sino que	3	1cor 1:10	1cor 7:15	expanded
εἰ	excepto	3	1cor 1:14	1cor 7:5	direct,merged-forward
κατὰ	conforme a	3	1cor 1:26	1cor 3:8	expanded
καὶ	los que	3	1corintios 7:30	1corintios 7:31	expanded
κυρίου	del señor	3	1cor 1:3	1corintios 7:22	expanded
παύλου	de pablo	3	1cor 1:12	1cor 3:4	expanded
ποῦ	dónde está	3	1cor 1:20	1cor 1:20	expanded
τοῖς	a los	3	1cor 5:10	1cor 7:8	expanded
τοῖς	para los	3	1cor 1:18	1cor 6:13	expanded
τὰ	las cosas	3	1cor 2:14	1cor 4:5	expanded
τὰ	lo que	3	1cor 1:28	1cor 2:12	expanded
τὸ	su	3	1cor 5:5	1cor 6:19	expanded
τὸν	a	3	1cor 1:21	1corintios 8:3	direct,expanded
τῇ	el	3	1cor 1:8	1cor 5:5	direct,expanded
τῷ	a	3	1cor 1:4	1corintios 7:34	direct,expanded
