consolidated_family_id	member_count	source_family_count	source_family_ids	avg_structural_density	avg_turbulence_density	avg_stable_density	avg_continuity_same_density	avg_continuity_shift_density	avg_continuity_unresolved_density	avg_weight_per_record	dominant_movement_profile
CSF001	2	1	SF001	0.8138	0.093	0.093	0.1623	0.8138	0.0	5.3918	structural
CSF002	13	2	SF002,SF021	0.5103	0.2691	0.2206	0.4897	0.5103	0.0	3.5698	structural
CSF003	10	1	SF003	0.3308	0.0759	0.5933	0.6692	0.3308	0.0	1.9346	stable
CSF004	6	1	SF004	0.6047	0.306	0.0893	0.3953	0.6047	0.0	4.3872	structural
CSF005	5	2	SF005,SF013	0.2767	0.6083	0.115	0.7233	0.2767	0.0	2.7033	turbulence
CSF006	4	2	SF006,SF024	0.3708	0.5542	0.075	0.6292	0.3708	0.0	3.3833	turbulence
CSF007	13	2	SF007,SF028	0.5054	0.1459	0.3488	0.4946	0.5054	0.0	2.9863	structural
CSF008	15	4	SF008,SF018,SF020,SF023	0.2198	0.1118	0.6684	0.7802	0.2198	0.0	1.2961	stable
CSF009	1	1	SF009	0.3333	0.6667	0.0	0.6667	0.3333	0.0	4.0	turbulence
CSF010	5	2	SF010,SF026	0.5899	0.125	0.2851	0.4101	0.5899	0.0	4.0078	structural
CSF011	4	1	SF011	0.7473	0.0312	0.2214	0.2527	0.7473	0.0	4.4984	structural
CSF012	4	1	SF012	0.1295	0.4333	0.4372	0.8705	0.1295	0.0	1.5812	turbulence
CSF013	1	1	SF014	0.0	0.5	0.5	1.0	0.0	0.0	1.0	stable
CSF014	4	2	SF015,SF027	0.6563	0.1826	0.1611	0.3437	0.6563	0.0	4.945	structural
CSF015	7	1	SF016	0.2599	0.3578	0.3823	0.7401	0.2599	0.0	2.1083	turbulence
CSF016	7	2	SF017,SF025	0.4373	0.1584	0.4043	0.5627	0.4373	0.0	2.6422	structural
CSF017	6	2	SF019,SF022	0.4302	0.191	0.3788	0.5698	0.4302	0.0	2.3731	structural
CSF018	1	1	SF029	0.5	0.0	0.5	0.5	0.5	0.0	3.5	structural
