book	end_reference	end_stream_index	first_finite_verb	first_predication_id	group_index	last_finite_verb	last_predication_id	movement_class_counts	movement_status_counts	record_count	start_reference	start_stream_index	structural_regime_id	total_structural_weight	merged_regimes	merged_regime_id
1corintios	1:15	21	εὐχαριστῶ	1corintios-1-4-P01	1	ἐβαπτίσθητε	1corintios-1-15-P02	"{""stable"": 1}"	"{""strong"": 1}"	19	1:4	1	SR0001	102	['SR0002', 'SR0004', 'SR0005', 'SR0006', 'SR0007', 'SR0008', 'SR0009', 'SR0010', 'SR0011', 'SR0012', 'SR0013', 'SR0014', 'SR0015', 'SR0016', 'SR0017', 'SR0018']	SMR0001
1corintios	1:16	24	ἐβάπτισα	1corintios-1-16-P01	19	ἐβάπτισα	1corintios-1-16-P03	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 1, ""none"": 1, ""strong"": 1}"	3	1:16	22	SR0019	10		SMR0002
1corintios	1:19	31	ἀπέστειλέν	1corintios-1-17-P01	20	ἀθετήσω	1corintios-1-19-P03	"{""stable"": 2, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 2, ""strong"": 1}"	7	1:17	25	SR0020	14	['SR0021']	SMR0003
1corintios	1:26	39	ἐμώρανεν	1corintios-1-20-P01	22	βλέπετε	1corintios-1-26-P01	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 3}"	8	1:20	32	SR0022	36	['SR0023', 'SR0024', 'SR0025', 'SR0026']	SMR0004
1corintios	1:30	47	ἐξελέξατο	1corintios-1-27-P01	27	ἐστε	1corintios-1-30-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 5}"	"{""candidate"": 5, ""none"": 1, ""strong"": 1}"	8	1:27	40	SR0027	24	['SR0028']	SMR0005
1corintios	1:31	50	ἐγενήθη	1corintios-1-30-P02	29	καυχάσθω	1corintios-1-31-P02	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	3	1:30	48	SR0029	10		SMR0006
1corintios	2:8	60	ἦλθον	1corintios-2-1-P01	30	ἐσταύρωσαν	1corintios-2-8-P03	"{""stable"": 2, ""structural"": 1}"	"{""candidate"": 1, ""none"": 2}"	10	2:1	51	SR0030	32	['SR0031', 'SR0032', 'SR0033', 'SR0034']	SMR0007
1corintios	2:11	69	γέγραπται	1corintios-2-9-P01	35	ἔγνωκεν	1corintios-2-11-P02	"{""stable"": 6, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 6, ""strong"": 1}"	9	2:9	61	SR0035	10		SMR0008
1corintios	2:13	72	ἐλάβομεν	1corintios-2-12-P01	36	λαλοῦμεν	1corintios-2-13-P01	"{""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""strong"": 1}"	3	2:12	70	SR0036	12		SMR0009
1corintios	3:2	83	δέχεται	1corintios-2-14-P01	37	ἐπότισα	1corintios-3-2-P01	"{""stable"": 5, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 5, ""strong"": 1}"	11	2:14	73	SR0037	20	['SR0038', 'SR0039']	SMR0010
1corintios	3:6	96	ἐδύνασθε	1corintios-3-2-P02	40	ἐφύτευσα	1corintios-3-6-P01	"{""stable"": 4, ""structural"": 1}"	"{""none"": 4, ""strong"": 1}"	13	3:2	84	SR0040	52	['SR0041', 'SR0042', 'SR0043', 'SR0044', 'SR0045', 'SR0046', 'SR0047']	SMR0011
1corintios	3:10	104	ἐπότισεν	1corintios-3-6-P02	48	ἔθηκα	1corintios-3-10-P01	"{""stable"": 1, ""structural"": 1, ""turbulence"": 1}"	"{""candidate"": 2, ""none"": 1}"	8	3:6	97	SR0048	34	['SR0049', 'SR0050', 'SR0051', 'SR0052', 'SR0053']	SMR0012
1corintios	3:16	123	ἐποικοδομεῖ	1corintios-3-10-P02	54	ἐστε	1corintios-3-16-P02	"{""stable"": 8, ""structural"": 1, ""turbulence"": 8}"	"{""candidate"": 8, ""none"": 8, ""strong"": 1}"	19	3:10	105	SR0054	30	['SR0055']	SMR0013
1corintios	3:17	128	οἰκεῖ	1corintios-3-16-P03	56	ἐστε	1corintios-3-17-P04	"{""stable"": 1, ""structural"": 1, ""turbulence"": 2}"	"{""candidate"": 2, ""none"": 1, ""strong"": 1}"	5	3:16	124	SR0056	18	['SR0057']	SMR0014
1corintios	3:21	138	ἐξαπατάτω	1corintios-3-18-P01	58	ἐστιν	1corintios-3-21-P02	"{""stable"": 2, ""structural"": 1, ""turbulence"": 4}"	"{""candidate"": 4, ""none"": 2, ""strong"": 1}"	10	3:18	129	SR0058	26	['SR0059', 'SR0060']	SMR0015
