stream_index	book	chapter	verse	predication_id	previous_predication_id	finite_verb	finite_lemma	finite_compact	subject_person	subject_number	subject_status	subject_source	continuity_status	continuity_source	previous_subject_person	previous_subject_number	previous_finite_verb	independence_status	subordination_status
1	1corintios	1	4	1corintios-1-4-P01		εὐχαριστῶ	εὐχαριστέω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	initial	stream_start				candidate	not_detected
2	1corintios	1	5	1corintios-1-5-P01	1corintios-1-4-P01	ἐπλουτίσθητε	πλουτίζω	V-API-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	1	S	εὐχαριστῶ	unresolved	candidate
3	1corintios	1	6	1corintios-1-6-P01	1corintios-1-5-P01	ἐβεβαιώθη	βεβαιόω	V-API-3S			candidate	nearest_agreeing_nominative_no_visible_boundary	unresolved	missing_subject_person_or_number	2	P	ἐπλουτίσθητε	unresolved	candidate
4	1corintios	1	8	1corintios-1-8-P01	1corintios-1-6-P01	βεβαιώσει	βεβαιόω	V-FAI-3S	3	S	confirmed	finite_verb_morphology	unresolved	missing_subject_person_or_number			ἐβεβαιώθη	candidate	not_detected
5	1corintios	1	9	1corintios-1-9-P01	1corintios-1-8-P01	ἐκλήθητε	καλέω	V-API-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	3	S	βεβαιώσει	candidate	not_detected
6	1corintios	1	10	1corintios-1-10-P01	1corintios-1-9-P01	παρακαλῶ	παρακαλέω	V-PAI-1S	1	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	ἐκλήθητε	candidate	not_detected
7	1corintios	1	10	1corintios-1-10-P02	1corintios-1-10-P01	λέγητε	λέγω	V-PAS-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	1	S	παρακαλῶ	unresolved	candidate
8	1corintios	1	10	1corintios-1-10-P03	1corintios-1-10-P02	ᾖ	εἰμί	V-PAS-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	λέγητε	candidate	not_detected
9	1corintios	1	10	1corintios-1-10-P04	1corintios-1-10-P03	ἦτε	εἰμί	V-PAS-2P	2	P	confirmed	finite_verb_morphology	shift	person_number_change	3	S	ᾖ	candidate	not_detected
10	1corintios	1	11	1corintios-1-11-P01	1corintios-1-10-P04	ἐδηλώθη	δηλόω	V-API-3S	3	S	confirmed	finite_verb_morphology	shift	person_number_change	2	P	ἦτε	candidate	not_detected
