BOOK	CH	VS	CLAUSE_ID	FINITE_GREEK	NODE_TYPE	PARENT_CLAUSE	RELATIONSHIP_TYPE	TREE_DEPTH	OWNERSHIP_CONFIDENCE	TREE_STATUS	SPAN_TEXT	NOTES
1corintios	1	4	C1	εὐχαριστῶ	root-or-unresolved			0		unresolved-root	==εὐχαριστῶ== τῷ θεῷ μου πάντοτε περὶ ὑμῶν ἐπὶ τῇ χάριτι τοῦ θεοῦ τῇ δοθείσῃ ὑμῖν ἐν χριστῷ ἰησοῦ	no-confirmed-topology
1corintios	1	5	C1	ἐπλουτίσθητε	root-or-unresolved			0		unresolved-root	ὅτι ἐν παντὶ ==ἐπλουτίσθητε== ἐν αὐτῷ ἐν παντὶ λόγῳ καὶ πάσῃ γνώσει	no-confirmed-topology
1corintios	1	6	C1	ἐβεβαιώθη	root-or-unresolved			0		unresolved-root	καθὼς τὸ μαρτύριον τοῦ χριστοῦ ==ἐβεβαιώθη== ἐν ὑμῖν	no-confirmed-topology
1corintios	1	8	C1	βεβαιώσει	root-or-unresolved			0		unresolved-root	ὃς καὶ ==βεβαιώσει== ὑμᾶς ἕως τέλους ἀνεγκλήτους ἐν τῇ ἡμέρᾳ τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	9	C1	ἐκλήθητε	root-or-unresolved			0		unresolved-root	πιστὸς ὁ θεὸς διʼ οὗ ==ἐκλήθητε== εἰς κοινωνίαν τοῦ υἱοῦ αὐτοῦ ἰησοῦ χριστοῦ τοῦ κυρίου ἡμῶν	no-confirmed-topology
1corintios	1	10	C1	παρακαλῶ	root-parent			0		unresolved-root	==παρακαλῶ== δὲ ὑμᾶς ἀδελφοί διὰ τοῦ ὀνόματος τοῦ κυρίου ἡμῶν ἰησοῦ χριστοῦ	no-confirmed-topology
1corintios	1	10	C2	λέγητε	leaf	C1	coordinate	1	medium	suggested	ἵνα τὸ αὐτὸ ==λέγητε== πάντες καὶ μὴ	function follows connector inventory; coordinating connector between finite clauses; source and target clauses available
1corintios	1	10	C3	ᾖ	root-or-unresolved			0		unresolved-root	==ᾖ== ἐν ὑμῖν σχίσματα	no-confirmed-topology; parallel-coordinate-structure-detected
1corintios	1	10	C4	ἦτε	root-or-unresolved			0		unresolved-root	==ἦτε== δὲ κατηρτισμένοι ἐν τῷ αὐτῷ νοῒ καὶ ἐν τῇ αὐτῇ γνώμῃ	no-confirmed-topology
1corintios	1	11	C1	ἐδηλώθη	root-parent			0		unresolved-root	==ἐδηλώθη== γάρ μοι περὶ ὑμῶν ἀδελφοί μου ὑπὸ τῶν Χλόης	no-confirmed-topology
